slug,title,composer,key,kind,youtube_id
odm,O del mio dolce ardor,Gluck,em,vocal,qu-AQ4iMyFA
odm,O del mio dolce ardor,Gluck,dm,vocal,DcRpFQaVPPM
odm,O del mio dolce ardor,Gluck,fm,vocal,GiBxePuxblY
odm,O del mio dolce ardor,Gluck,em,accomp,zU0ZhOZcFYs
odm,O del mio dolce ardor,Gluck,dm,accomp,GrbrPcxthCs
odm,O del mio dolce ardor,Gluck,fm,accomp,L0mHoZet6kQ
plg,Per la gloria d'adorarvi,Bononcini,F,vocal,TL87g16kH5A
plg,Per la gloria d'adorarvi,Bononcini,Eb,vocal,duSbpa4Q5C8
plg,Per la gloria d'adorarvi,Bononcini,G,vocal,VcPJKPiMRSA
plg,Per la gloria d'adorarvi,Bononcini,F,accomp,m8xG4j3Da9c
plg,Per la gloria d'adorarvi,Bononcini,Eb,accomp,zD1zB7Ol5F4
plg,Per la gloria d'adorarvi,Bononcini,G,accomp,S77WZrQvJjI
